Date,Open,High,Low,Close
8-Apr-15,28601.49,28763.06,28566.61,28707.75
9-Apr-15,28858.42,28906.71,28622.44,28885.21
4-May-15,27204.63,27537.85,27159.45,27490.59
5-May-15,27561.32,27603.71,27338.23,27440.14
6-May-15,27473.36,27501.15,26677.64,26717.37
7-May-15,26721.34,26850.37,26423.99,26599.11
8-May-15,26814.38,27196.28,26814.38,27105.39
1-Jun-15,27770.79,27959.43,27737.58,27848.99
2-Jun-15,27890.73,27902.53,27146.68,27188.38
3-Jun-15,27230.68,27276.22,26698.26,26837.2
4-Jun-15,26940.64,26948.84,26551.97,26813.42
5-Jun-15,26819.82,27014.42,26718.44,26768.49
8-Jun-15,26814.31,26827.06,26472.87,26523.09
9-Jun-15,26510.29,26604.65,26438.32,26481.25
10-Jun-15,26517.32,26934.74,26493.29,26840.5
11-Jun-15,26959.98,27000.14,26348.93,26370.98
12-Jun-15,26340.32,26489.58,26307.07,26425.3
15-Jun-15,26498.67,26728.6,26307.84,26586.55
16-Jun-15,26586.86,26731.35,26379.93,26686.51
17-Jun-15,26815.41,26983.48,26728.89,26832.66
18-Jun-15,26916.99,27175.39,26910.26,27115.83
19-Jun-15,27207.76,27404.6,27202.38,27316.17
22-Jun-15,27427.19,27782.31,27417.03,27730.21
23-Jun-15,27760.11,27882.66,27666.59,27804.37
24-Jun-15,27852.32,27948.24,27647.29,27729.67
25-Jun-15,27660.22,27968.75,27635.76,27895.97
26-Jun-15,27880.72,27921.86,27675.16,27811.84
29-Jun-15,27451.07,27695.32,27209.19,27645.15
30-Jun-15,27627.39,27814.53,27570.95,27780.83
1-Jul-15,27823.65,28099.25,27799.91,28020.87
2-Jul-15,28100.38,28115.96,27906.35,27945.8
3-Jul-15,27973.12,28135.43,27897.45,28092.79
6-Jul-15,27857.2,28235.31,27774.8,28208.76
7-Jul-15,28220.11,28335.23,28084.36,28171.69
8-Jul-15,28031.45,28031.45,27635.72,27687.72
9-Jul-15,27681.49,27798.13,27540.6,27573.66
10-Jul-15,27705.36,27729.46,27530.9,27661.4
13-Jul-15,27739.32,28005.17,27635.06,27961.19
14-Jul-15,27986.92,28018.59,27853.96,27932.9
15-Jul-15,28022.14,28218.37,27986.48,28198.29
16-Jul-15,28259.7,28478.43,28245.81,28446.12
17-Jul-15,28480.92,28576.32,28417.46,28463.31
20-Jul-15,28544.28,28549.13,28319.83,28420.12
